to_project_name,grant_pool_name,from_project_name,f0_
crunchdao,GG-17 - 0x6e8dc2e623204d61b0e59e668702654ae336c9f7,gitcoin,34.098199546337128
cadcad-org,GG-17 - 0x6e8dc2e623204d61b0e59e668702654ae336c9f7,gitcoin,208.22963100671768
tradao-xyz,GG-18 - 0x30c381033aa2830ceb0aa372c2e4d28f004b3db9,gitcoin,31.820681800832972
cryptosmartnow,GG-19 - 0xd309defd59c0b8792b14197eaa40043d9625b22b,gitcoin,290.11261482958184
prettier-solidity,retropgf2,optimism,65751.0
coinvise,CGrants - Direct,gitcoin,24.502899803791127
kotalco,CGrants - Direct,gitcoin,367.10918551448782
teku-consensys,CGrants - Direct,gitcoin,64.592835281445559
hardhat-nomicfoundation,GG-05,gitcoin,643.21737182614356
datalatte-ai,GG-15,gitcoin,118.25878689778607
ethereumcolombia,GG-17 - 0xaa40e2e5c8df03d792a52b5458959c320f86ca18,gitcoin,97.704271078109741
bonding-curves,GG-21 - 386,gitcoin,2673.9649738352309
gitcoin,contributions,opencollective,6861.09
eth-infinitism-account-abstraction,retrofunding5,optimism,277181.242159485
,PartnerRound - 62 - 10,gitcoin,6.8578112125396729
alasdao,GG-11,gitcoin,19.870447108799826
glosseta,GG-15,gitcoin,47.732708446906052
optinames-optimismresolver,GG-17 - 0x64e5b2228ef31437909900b38fc42dd5e4b83147,gitcoin,231.67919713258743
ethereum-etl-blockchain-etl,CGrants - Direct,gitcoin,443.92982961272367
wtfacademy,GG-17 - 0xaa40e2e5c8df03d792a52b5458959c320f86ca18,gitcoin,343.08227777481079
,PartnerRound - 100 - 8453,gitcoin,10.899386405944824
fusion-drum-n-bass,GG-11,gitcoin,49.141184819417887
zkpodai,GG-17 - 0xaa40e2e5c8df03d792a52b5458959c320f86ca18,gitcoin,6887.0280017852783
,PartnerRound - 68 - 8453,gitcoin,46.887876391410828
examp-llc,GG-13,gitcoin,44.314870934549333
metamail,GG-17 - 0x859faeaa266ba13bd1e72eb6dd7a223902d1adfe,gitcoin,79.22700671851635
aura-meta-node,GG-17 - 0x905efbabe2d52cd648fadfafcec8d6c8c60f7423,gitcoin,306.71940039098263
python,contributions,opencollective,5.0
wtfacademy,GG-17 - 0x859faeaa266ba13bd1e72eb6dd7a223902d1adfe,gitcoin,249.62371724843979
beacon-chain,retropgf2,optimism,158755.5
icdevsorg,GG-21 - 385,gitcoin,47.170387343433376
stiame,GG-17 - 0x8aa06b3b8cac2970857f4e0fd78f21dc01aade94,gitcoin,66.032796859741211
,PartnerRound - 6 - 10,gitcoin,20.084400333464146
orderlynetwork,retrofunding4,optimism,79362.7918639256
banklessdao,PartnerRound - 0xda5294d67a67d51d7bd34af2dca7b0954812d2a3 - 10,gitcoin,0.22999154683202505
luncosim,PartnerRound - 4 - 534352,gitcoin,20.233459882438183
turbo-eth,retropgf2,optimism,27408.0
validatoxyz,retropgf3,optimism,0.0
banklessdao,retropgf3,optimism,81075.12
bonding-curves,GG-17 - 0x9e669c0a6e075f14ba9d9d98c3580ad67e20ec38,gitcoin,260.10630279779434
safe-global,retropgf2,optimism,179376.0
m7eio,CGrants - Direct,gitcoin,15.945858355867
0xdeadlist,GG-17 - 0x859faeaa266ba13bd1e72eb6dd7a223902d1adfe,gitcoin,26.324218094348907
help-grow,GG-17 - 0xaa40e2e5c8df03d792a52b5458959c320f86ca18,gitcoin,121.84542155265808
rabbithole,retrofunding4,optimism,253408.349617766
minerva-wallet-lab10-coop,GG-17 - 0x421510312c40486965767be5ea603aa8a5707983,gitcoin,25.396820306777954
likecoin,GG-08,gitcoin,4.75
fusion-drum-n-bass,GG-15,gitcoin,37.712777320895896
pulsarswap,PartnerRound - 0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad - 42161,gitcoin,2.7210014462471008
yubiai,GG-13,gitcoin,139.22378217561246
gashawk-corpus-io,grants_season_4,optimism,70000.0
libp2p,retrofunding5,optimism,652907.205917599
glosseta,CGrants - Direct,gitcoin,3.2246938157805
geo-web,retropgf3,optimism,111304.795
,PartnerRound - 33 - 10,gitcoin,52.704179763793945
maverickprotocol,retrofunding4,optimism,147197.505211419
alasdao,GG-14,gitcoin,12.825484175385197
open-cann,PartnerRound - 0x1b96ad9da78cf768e9b5f0bb508cecc3d353d740 - 42161,gitcoin,125.83296031249922
,PartnerRound - 14 - 137,gitcoin,4.07037878036499
seamless-protocol,retropgf3,optimism,208696.495
itu-blockchain,retropgf2,optimism,39670.5
,PartnerRound - 11 - 137,gitcoin,4.3482438325881958
teku-consensys,GG-15,gitcoin,51.3528
carboncopyrefi,PartnerRound - 35 - 42161,gitcoin,11.431919932365417
beefy-finance,retrofunding4,optimism,53922.0748288248
blocknative,retrofunding5,optimism,114429.903180279
synpress-synthexio,retropgf3,optimism,347827.48
web3j,retropgf2,optimism,29677.5
otterscan,retropgf3,optimism,596277.185
thescinitiative,CGrants - Direct,gitcoin,7.23831577
ponder-surveys,retropgf3,optimism,173913.74
threshold-network,grants_season_3,optimism,300000.0
brewitmoney,GG-15,gitcoin,2.6491049999999996
playmint,retropgf3,optimism,0.0
proof-of-humanity,GG-05,gitcoin,6.2201779969707438
bankless-card,retropgf3,optimism,74800.32
nethermindeth,retropgf3,optimism,869568.735
alchemix,retrofunding4,optimism,4207.02243221575
umbra-scopelift,retrofunding4,optimism,6931.46147393249
,PartnerRound - 104 - 8453,gitcoin,0.26237268280237913
simple-optimism-node-smartcontracts,retrofunding5,optimism,195370.653327931
hats-protocol,retropgf3,optimism,278262.005
defilab-xyz,retropgf3,optimism,140296.205
0xparc,retropgf2,optimism,309081.0
gitcoin,PartnerRound - 0xefa3336cf157bfc308aca6fa66cdb93004813b8c - 10,gitcoin,0.018515679985284805
urbanika,GG-18 - 0xb6be0ecafdb66dd848b0480db40056ff94a9465d,gitcoin,3.0031918883323669
atticc,GG-15,gitcoin,68.52175
yokifinance,retropgf3,optimism,69565.51
swapmode,retrofunding4,optimism,70502.2597218824
,PartnerRound - 27 - 8453,gitcoin,5.9644207954406738
openocean-finance,retrofunding4,optimism,86914.4359730272
sheep-nft-oktomaschine,retrofunding4,optimism,7754.28312313374
celer,grants_season_1,optimism,1000000.0
questbook,retropgf2,optimism,1522.5
rmrk-team,retrofunding4,optimism,7401.71052070096
defi-wonderland,retropgf2,optimism,20526.0
debridge-finance,retrofunding4,optimism,197325.058397238
insuredao,grants_season_2,optimism,125000.0
alt-research,retrofunding5,optimism,146723.360649276
ethpandaops,retrofunding5,optimism,265117.976566002
slingshot,grants_season_1,optimism,300000.0
metagov,grants_season_4,optimism,100625.0
across,retropgf2,optimism,22558.5
opensource-observer,grants_season_4,optimism,87500.0
fe-ethereum,retropgf3,optimism,347827.48
eco-association,retropgf3,optimism,267559.355
crossbell-box,GG-13,gitcoin,5.16823854857
mcgingras-loot2,retrofunding4,optimism,32695.6900435817
omnisea,retrofunding4,optimism,25954.0909594854
eth-infinitism-account-abstraction,retropgf2,optimism,91999.5
aave,retrofunding4,optimism,248367.646362096
banklessdao,retropgf2,optimism,41352.0
hop-protocol,retropgf3,optimism,173913.74
taho-wallet,grants_season_2,optimism,500000.0
tryethernal,CGrants - Direct,gitcoin,1.094549499068
aestus-relay,retropgf3,optimism,340530.085
footprintanalytics,grants_season_3,optimism,45000.0
erigon-ledgerwatch,retropgf3,optimism,1188410.02
voteagora,retropgf3,optimism,743084.755
warden-swap,grants_season_1,optimism,300000.0
gov-w3hc,retropgf3,optimism,64648.955
galxe,retropgf3,optimism,298595.99
opti-domains,retrofunding4,optimism,16326.2540216701
fairmint,grants_season_3,optimism,375000.0
overnight,retrofunding4,optimism,64997.1549168176
,PartnerRound - 1 - 534352,gitcoin,0.35388156771659851
bradfitz,contributions,opencollective,22496.03
herodotusdev,grants_season_3,optimism,75000.0
protocol-guild,retrofunding5,optimism,379753.124284813
guildxyz,retrofunding4,optimism,44767.0524162657
l2planet,retropgf3,optimism,0.0
jhekub-building-blocks,retrofunding4,optimism,0.0
gitcoin,PartnerRound - 0x4899111b686cb52b11f703e8b05b4fc53fb38b13 - 424,gitcoin,0.20685548521578312
derivexyz,grants_season_1,optimism,3000000.0
nouns-ourzora,retropgf3,optimism,173913.74
hausdao,retropgf3,optimism,172191.985
onchain-cubes-dailofrog,retrofunding4,optimism,0.0
pika-protocol,retrofunding4,optimism,24592.8731450629
ethers-io,CGrants - Direct,gitcoin,45448.577873400063
rekthq,CGrants - Direct,gitcoin,9933.9267037795289
someresatguides,CGrants - Direct,gitcoin,33149.794906509276
electronic-frontier-foundation,CGrants - Direct,gitcoin,1650.4086735439012
guild-w,CGrants - Direct,gitcoin,3054.2712384324482
farcaster-indexer-gskril,CGrants - Direct,gitcoin,6514.0963868893505
nimi-app,CGrants - Direct,gitcoin,173.48573688000002
ethernaut-openzeppelin,CGrants - Direct,gitcoin,45.59997012800001
giveth,CGrants - Direct,gitcoin,3395.3591944306122
,GG-05,gitcoin,271743.88140998903
brightid,GG-05,gitcoin,815.41540839827383
commons-stack,GG-08,gitcoin,19591.380923589804
geo-web,GG-08,gitcoin,4718.45622335006
sourcify-ethereum,GG-08,gitcoin,653.68835294509358
ethstaker,GG-09,gitcoin,6384.393343273935
shenanigandapp,GG-09,gitcoin,10573.398221757514
ethstaker,GG-10,gitcoin,22465.199256685526
hardhat-nomicfoundation,GG-10,gitcoin,21313.698025279831
reach-sh,GG-10,gitcoin,266.40744332244515
vyperlang,GG-10,gitcoin,8965.3687252316
metagame-metafam,GG-10,gitcoin,549.7914580407346
migalabs,GG-10,gitcoin,2132.377434693437
gitcoin,GG-10,gitcoin,34917.224874146581
lighthouse-sigp,GG-11,gitcoin,14319.937353173784
walletconnect,GG-11,gitcoin,1566.8700392118958
banklessdao,GG-11,gitcoin,11167.697175919622
commons-stack,GG-12,gitcoin,7652.978810763545
beacon-chain,GG-12,gitcoin,16440.0741305434
kredeum,GG-13,gitcoin,7660.51843505809
0xparc,GG-13,gitcoin,81161.39077224728
freezingmoon,GG-13,gitcoin,2458.1689665342765
wighawag,GG-13,gitcoin,1302.115187654598
treejer,GG-14,gitcoin,11623.596888606551
beacon-chain,GG-14,gitcoin,85377.030273897908
democracyearth,GG-14,gitcoin,460.615295409604
ethhub-io,GG-14,gitcoin,17229.410689739612
nativesintech,GG-14,gitcoin,5392.0028629644758
